Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Šara, Inanna's Beautician",Being,"Deity, Artist","On enter: Draw 'Inanna, Goddess of Love and War' from your deck.",0,0,0,1,2,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"'Šara is my singer, my manicurist and my hairdresser. How could I turn him over to you?'"
"Kur-Jara",Being,"Enki's Creation","On enter: If 'Gala-Tura' is at this location, revive a being with a cost of [3] or less.",0,0,0,1,2,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"He removed some dirt from the tip of his fingernail and created the kur-jara. To the kur-jara he gave the life-giving plant."
"Gala-Tura",Being,"Enki's Creation","On enter: If 'Kur-Jara' is at this location, revive a being with a cost of [3] or less.",0,0,0,1,2,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"He removed some dirt from the tip of his other fingernail and created the gala-tura. To the gala-tura he gave the life-giving water."
"Gatekeeper Neti",Being,"Underworld, Guardian","On enter: You may put a being from your hand into your underworld.",0,0,0,2,3,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"'Be satisfied, Inanna, a divine power of the underworld has been fulfilled. You must not open your mouth against the rites of the underworld.'"
"Ninšubur, Sukkal to Inanna",Being,"Deity, Sukkal","On enter: If 'Inanna, Goddess of Love and War' is in your underworld, you may banish a friendly being to revive her.",0,0,0,2,3,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"She did not forget her orders, she did not neglect her instructions. Like a pauper, she clothed herself in a single garment."
"Galla Demons",Being,"Underworld, Demon","On enter: You must banish one of your other beings if possible.",0,0,0,2,4,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"Those who accompanied her know no food, know no drink. They accept no pleasant gifts. They never enjoy the pleasures of the marital embrace."
"Geshtinanna, Dumuzid's Sister",Being,"Deity, Poet","While on top: Once per turn, you may banish this being to revive 'Dumuzid, Shepherd God'. On Revive: Draw a card.",0,0,0,2,4,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"'You for half the year and your sister for half the year: when you are demanded, on that day you will stay, when your sister is demanded, on that day you will be released.'"
"Sirtur, Mourning Mother",Being,"Deity","On enter: Revive 'Dumuzid, Shepherd God' or 'Geshtinanna, Dumuzid's Sister'.",0,0,0,2,3,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"Mother of Dumuzid, she mourned at the edge of the steppe, weeping for her shepherd son."
"Dirt under Enki's Fingernail",Being,"Deity","On enter: Draw 'Kur-Jara' and 'Gala-Tura' from your deck.",0,0,0,2,3,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"'What has my daughter done? She has me worried. What has the mistress of all the lands done? She has me worried.'"
"Underworld Courier",Being,"Deity, Sukkal","On enter: Put a being from your hand into your underworld.",0,0,0,3,6,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"Vizier of the Queen of the Dead, whose touch brings plague and whose word is fate."
"Inanna, Goddess of Love and War",Being,"Deity","On revive: For every opponent, banish one of their beings if possible.",0,0,0,3,5,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"From the great heaven she set her mind on the great below. My mistress abandoned heaven, abandoned earth, and descended to the underworld."
"Dumuzid, Shepherd God",Being,"Deity, Shepherd","While on top: Once per turn, you may banish this being to revive 'Geshtinanna, Dumuzid's Sister'.",0,0,0,4,7,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"There was Dumuzid clothed in a magnificent garment and seated magnificently on a throne. She looked at him — it was the look of death."
"Lulal, Inanna's Bodyguard",Being,"Deity, Warrior","On enter: Revive 'Inanna, Goddess of Love and War'.",0,0,0,4,4,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"'Outstanding Lulal follows me at my right and my left. How could I turn him over to you?'"
"Namtar, Sukkal to Ereshkigal",Being,"Deity, Underworld","On enter: Put any being from your hand, deck or battlefield into your underworld.",0,0,0,4,7,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"Her holy shoulders were not covered by a linen cloth. Her nails were like a pickaxe upon her. The hair on her head was bunched up as if it were leeks."
"Anunnaki, The Seven Judges",Being,"Deity, Underworld","While on top: Whenever you revive a being, each opponent must banish one of their beings.",0,0,0,5,8,Sumerian,Sana1.5:1.6b,Alpha 0.2.0,,"They looked at her — it was the look of death. They spoke to her — it was the speech of anger."
